date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:32	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Mar%202019%2019:48:30%20GMT	http://bookatailor.com/robots.txt		(from )
00:48:33	75781/75781	---M-Z	200	added ('OK')	text/html	etag:%220a3676ef7d1d41:0%22	http://bookatailor.com/?http://bookatailor.com/	C:/Users/Huzaifa%20Imran/Downloads/Tailor/bookatailor.com/indexc9cb.html	(from )
00:48:35	53067/53067	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2007%20Mar%202019%2019:48:36%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Huzaifa%20Imran/Downloads/Tailor/connect.facebook.net/en_US/fbevents.js	(from http://bookatailor.com/?http://bookatailor.com/)
00:48:36	44130/44130	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/Huzaifa%20Imran/Downloads/Tailor/www.google-analytics.com/analytics.js	(from http://bookatailor.com/?http://bookatailor.com/)
00:48:36	3916/3916	---M--	200	added ('OK')	image/x-icon	etag:%2209a29e1364cd11:0%22	http://bookatailor.com/img/favicon.ico	C:/Users/Huzaifa%20Imran/Downloads/Tailor/bookatailor.com/img/favicon.ico	(from http://bookatailor.com/?http://bookatailor.com/)
00:48:37	120363/120363	---M-Z	200	added ('OK')	text/css	etag:%2280d3bf58fa78d31:0%22	http://bookatailor.com/css/bootstrap_batnew.min.css	C:/Users/Huzaifa%20Imran/Downloads/Tailor/bookatailor.com/css/bootstrap_batnew.min.css	(from http://bookatailor.com/?http://bookatailor.com/)
00:48:37	12738/12738	---M-Z	200	added ('OK')	text/css	etag:%2280cd68951b78d31:0%22	http://bookatailor.com/new.css	C:/Users/Huzaifa%20Imran/Downloads/Tailor/bookatailor.com/new.css	(from http://bookatailor.com/?http://bookatailor.com/)
00:48:38	23739/23739	---M-Z	200	added ('OK')	text/css	etag:%22094b6df7a79d01:0%22	http://bookatailor.com/css/font-awesome.min.css	C:/Users/Huzaifa%20Imran/Downloads/Tailor/bookatailor.com/css/font-awesome.min.css	(from http://bookatailor.com/?http://bookatailor.com/)
00:48:38	1476/1476	---M--	200	added ('OK')	text/css	etag:%220722eae676ecf1:0%22	http://bookatailor.com/css/owl.carousel_batnew.css	C:/Users/Huzaifa%20Imran/Downloads/Tailor/bookatailor.com/css/owl.carousel_batnew.css	(from http://bookatailor.com/?http://bookatailor.com/)
00:48:39	1743/1743	---M--	200	added ('OK')	text/css	etag:%2203e8f81b6dd21:0%22	http://bookatailor.com/css/owl.theme.css	C:/Users/Huzaifa%20Imran/Downloads/Tailor/bookatailor.com/css/owl.theme.css	(from http://bookatailor.com/?http://bookatailor.com/)
